/home/ec2-user/venv/lib64/python3.9/site-packages/boto3/compat.py:89: PythonDeprecationWarning: Boto3 will no longer support Python 3.9 starting April 29, 2026. To continue receiving service updates, bug fixes, and security updates please upgrade to Python 3.10 or later. More information can be found here: https://aws.amazon.com/blogs/developer/python-support-policy-updates-for-aws-sdks-and-tools/
  warnings.warn(warning, PythonDeprecationWarning)
Connected to Coinbase WebSocket
Sent: BTC-USD | $64031.97 (Buffer: 1/100)
Sent: BTC-USD | $64033.57 (Buffer: 2/100)
Sent: BTC-USD | $64033.57 (Buffer: 3/100)
Sent: BTC-USD | $64033.57 (Buffer: 4/100)
Sent: BTC-USD | $64033.57 (Buffer: 5/100)
Sent: BTC-USD | $64033.57 (Buffer: 6/100)
Sent: BTC-USD | $64033.57 (Buffer: 7/100)
Sent: ETH-USD | $1856.47 (Buffer: 8/100)
Sent: BTC-USD | $64033.57 (Buffer: 9/100)
Sent: BTC-USD | $64033.57 (Buffer: 10/100)
Sent: BTC-USD | $64033.57 (Buffer: 11/100)
Sent: BTC-USD | $64033.57 (Buffer: 12/100)
Sent: BTC-USD | $64034.98 (Buffer: 13/100)
Sent: BTC-USD | $64034.98 (Buffer: 14/100)
Sent: BTC-USD | $64034.98 (Buffer: 15/100)
Sent: BTC-USD | $64034.98 (Buffer: 16/100)
Sent: BTC-USD | $64034.99 (Buffer: 17/100)
Sent: BTC-USD | $64034.98 (Buffer: 18/100)
Sent: BTC-USD | $64034.98 (Buffer: 19/100)
Sent: BTC-USD | $64034.98 (Buffer: 20/100)
Sent: BTC-USD | $64034.98 (Buffer: 21/100)
Sent: BTC-USD | $64034.98 (Buffer: 22/100)
Sent: SOL-USD | $73.86 (Buffer: 23/100)
Sent: BTC-USD | $64034.98 (Buffer: 24/100)
Sent: ETH-USD | $1855.94 (Buffer: 25/100)
Sent: BTC-USD | $64034.99 (Buffer: 26/100)
Sent: BTC-USD | $64034.99 (Buffer: 27/100)
Sent: ETH-USD | $1855.94 (Buffer: 28/100)
Sent: BTC-USD | $64034.99 (Buffer: 29/100)
Sent: ETH-USD | $1856.12 (Buffer: 30/100)
Sent: BTC-USD | $64034.98 (Buffer: 31/100)
Sent: ETH-USD | $1856.11 (Buffer: 32/100)
Sent: SOL-USD | $73.86 (Buffer: 33/100)
Sent: BTC-USD | $64034.98 (Buffer: 34/100)
Sent: BTC-USD | $64034.99 (Buffer: 35/100)
Sent: BTC-USD | $64034.98 (Buffer: 36/100)
Sent: SOL-USD | $73.85 (Buffer: 37/100)
Sent: ETH-USD | $1856.07 (Buffer: 38/100)
Sent: BTC-USD | $64034.98 (Buffer: 39/100)
Sent: BTC-USD | $64034.98 (Buffer: 40/100)
Sent: BTC-USD | $64034.98 (Buffer: 41/100)
Sent: BTC-USD | $64034.98 (Buffer: 42/100)
Sent: BTC-USD | $64034.98 (Buffer: 43/100)
Sent: BTC-USD | $64034.99 (Buffer: 44/100)
Sent: ETH-USD | $1855.89 (Buffer: 45/100)
Sent: SOL-USD | $73.85 (Buffer: 46/100)
📦 Flushed 46 trades to S3: raw_batch/batch_20260725_124539_46.json
Sent: ETH-USD | $1855.92 (Buffer: 1/100)
Sent: BTC-USD | $64034.98 (Buffer: 2/100)
Sent: ETH-USD | $1855.9 (Buffer: 3/100)
Sent: BTC-USD | $64034.98 (Buffer: 4/100)
Sent: BTC-USD | $64034.98 (Buffer: 5/100)
Sent: BTC-USD | $64034.98 (Buffer: 6/100)
Sent: BTC-USD | $64033.57 (Buffer: 7/100)
Sent: BTC-USD | $64033.57 (Buffer: 8/100)
Sent: BTC-USD | $64033.57 (Buffer: 9/100)
Sent: BTC-USD | $64033.57 (Buffer: 10/100)
Sent: BTC-USD | $64033.57 (Buffer: 11/100)
Sent: BTC-USD | $64033.57 (Buffer: 12/100)
Sent: BTC-USD | $64033.57 (Buffer: 13/100)
Sent: BTC-USD | $64033.57 (Buffer: 14/100)
Sent: BTC-USD | $64033.57 (Buffer: 15/100)
Sent: BTC-USD | $64033.57 (Buffer: 16/100)
Sent: BTC-USD | $64033.58 (Buffer: 17/100)
Sent: BTC-USD | $64033.58 (Buffer: 18/100)
Sent: BTC-USD | $64033.58 (Buffer: 19/100)
Sent: BTC-USD | $64033.57 (Buffer: 20/100)
Sent: BTC-USD | $64033.57 (Buffer: 21/100)
Sent: BTC-USD | $64033.57 (Buffer: 22/100)
Sent: BTC-USD | $64033.57 (Buffer: 23/100)
Sent: BTC-USD | $64033.57 (Buffer: 24/100)
Sent: BTC-USD | $64033.57 (Buffer: 25/100)
Sent: BTC-USD | $64033.57 (Buffer: 26/100)
Sent: BTC-USD | $64033.57 (Buffer: 27/100)
Sent: BTC-USD | $64033.57 (Buffer: 28/100)
Sent: BTC-USD | $64033.57 (Buffer: 29/100)
Sent: BTC-USD | $64033.57 (Buffer: 30/100)
Sent: BTC-USD | $64033.57 (Buffer: 31/100)
Sent: BTC-USD | $64033.57 (Buffer: 32/100)
Sent: BTC-USD | $64033.58 (Buffer: 33/100)
Sent: BTC-USD | $64033.57 (Buffer: 34/100)
Sent: BTC-USD | $64033.57 (Buffer: 35/100)
Sent: BTC-USD | $64033.57 (Buffer: 36/100)
Sent: BTC-USD | $64033.57 (Buffer: 37/100)
Sent: BTC-USD | $64033.57 (Buffer: 38/100)
Sent: BTC-USD | $64033.57 (Buffer: 39/100)
Sent: BTC-USD | $64031.95 (Buffer: 40/100)
Sent: BTC-USD | $64031.95 (Buffer: 41/100)
Sent: BTC-USD | $64031.95 (Buffer: 42/100)
Sent: BTC-USD | $64033.57 (Buffer: 43/100)
Sent: BTC-USD | $64033.58 (Buffer: 44/100)
Sent: ETH-USD | $1856.24 (Buffer: 45/100)
Sent: BTC-USD | $64033.57 (Buffer: 46/100)
Sent: BTC-USD | $64033.57 (Buffer: 47/100)
Sent: BTC-USD | $64033.57 (Buffer: 48/100)
Sent: BTC-USD | $64033.57 (Buffer: 49/100)
